ID,text,label,Depression,Alcohol,Suicide,Drugs
SUAVK39Z, i feel that it was betteer i die am happy,0,1,0,0,0
9JDAGUV3, why do i get hallucinations ? ,3,0,0,0,1
419WR1LQ, i am stressed due to lack of financial support in school,0,1,0,0,0
6UY7DX6Q, why is life important ? ,2,0,0,1,0
FYC0FTFB, how could i be helped to go through the depression ? ,0,1,0,0,0
V6VSDJ5I, what are the effects of depression to ones health,0,1,0,0,0
9736J4UE, why is everything so hard to deal wwith in this life,0,1,0,0,0
AY8L479Y,  i feel emotionally overwhelmed ,0,1,0,0,0
OSFJV5EC, how to manage taking alcohol ? ,1,0,1,0,0
U4SGUGGM, is heaven open for us who smoke bhang ? ,3,0,0,0,1
JGBMEUC1, how to survive wwithout money ? ,0,1,0,0,0
LM8GPR0X, how do i stop this ?  what do i do when life becomes unbearable ? ,1,0,1,0,0
EIF8Y8MX," i was ever sad , alone and always on drugs now i know how to cope wwith negative aspects in my life",0,1,0,0,0
03TVUJ9J," i feel empty , absent minded",0,1,0,0,0
CBMIYRK7, i experienced depression in my studies,0,1,0,0,0
Y5MH83OX, i feel like am alone in this world,0,1,0,0,0
OHIWTBLA, i feel low and out of place,0,1,0,0,0
0LPO6TKU, what should i do to get out of depression ? ,0,1,0,0,0
WQG9NYO0, how can i stop using alcohol ? ,1,0,1,0,0
WYDRQKK9," i feel hopeless ,  unworthy and useless  … how do i cope wwith stress and forge the past ? ",0,1,0,0,0
H6HGNIPM, does meditation help stop weed addiction ? ,3,0,0,0,1
JJFB80YG," i feel bad because life difficulties ,  i also feel bad that i have no one to control",0,1,0,0,0
SI6LH9S9, what are the effects of smoking bhang ? ,3,0,0,0,1
P4T442GZ," sadness , hatred now feeling is happiness",0,1,0,0,0
6T60B8ZM," feelings then were like everything was falling apart , now things are in control",0,1,0,0,0
EL8WHB10, how do i cope wwith ta difficult situation ? what will i d to avoid it ? ,0,1,0,0,0
K9DGPFW6, deteriorating academic performance,0,1,0,0,0
46DPSGSJ, effect of alcohol both in the society and my body,1,0,1,0,0
AWTMRJ2C, how could i stop using bhang,3,0,0,0,1
