ID,text,label,Depression,Alcohol,Suicide,Drugs
SUAVK39Z,i feel it was betteer i die happy,0,1,0,0,0
9JDAGUV3,why do i hallucinate?,3,0,0,0,1
419WR1LQ,I am stressed by lack of financial support at school,0,1,0,0,0
6UY7DX6Q,why is life important?,2,0,0,1,0
FYC0FTFB,How can I be helped through depression?,0,1,0,0,0
V6VSDJ5I,What are the health effects of depression,0,1,0,0,0
9736J4UE,why is everything so difficult to manage in this life,0,1,0,0,0
AY8L479Y,I feel emotionally overwhelmed,0,1,0,0,0
OSFJV5EC,how to manage alcohol consumption?,1,0,1,0,0
U4SGUGGM,is the sky open for us who smoke bhang?,3,0,0,0,1
JGBMEUC1,how to survive without money?,0,1,0,0,0
LM8GPR0X,how can i stop this? what to do when life becomes unbearable?,1,0,1,0,0
EIF8Y8MX,"I was always sad, alone and still on drugs now I know how to deal with the negative aspects of my life",0,1,0,0,0
03TVUJ9J,"I feel empty, distracted",0,1,0,0,0
CBMIYRK7,I suffered from depression in my studies,0,1,0,0,0
Y5MH83OX,I feel like I'm alone in this world,0,1,0,0,0
OHIWTBLA,I feel weak and irrelevant,0,1,0,0,0
0LPO6TKU,what should i do to get out of depression?,0,1,0,0,0
WQG9NYO0,how can i stop drinking alcohol?,1,0,1,0,0
WYDRQKK9,"I feel hopeless, unworthy and useless… how to deal with stress and forge the past?",0,1,0,0,0
H6HGNIPM,Does Meditation Help Stop Weed Addiction?,3,0,0,0,1
JJFB80YG,"I feel bad because of life difficulties, I also feel bad having no one to control",0,1,0,0,0
SI6LH9S9,what are the effects of bhang smoking?,3,0,0,0,1
P4T442GZ,"sadness, hate now the feeling is happiness",0,1,0,0,0
6T60B8ZM,feelings were like everything was falling apart now things are under control,0,1,0,0,0
EL8WHB10,how to deal with a difficult situation? what will i do to avoid it?,0,1,0,0,0
K9DGPFW6,deterioration in academic performance,0,1,0,0,0
46DPSGSJ,effect of alcohol both in society and in my body,1,0,1,0,0
AWTMRJ2C,how could i stop using bhang,3,0,0,0,1
Z38CHPES,how to avoid drug abuse?,3,0,0,0,1
NUJNN8HA,how am i going to stop? what addiction means.,1,0,1,0,0
O7SRICTV,i feel rejected,0,1,0,0,0
TY6R8YBF,is it fair for a depressed person to use drugs,0,1,0,0,0
4DDQ2BRX,I just stopped drinking because I thought it was not good for me,1,0,1,0,0
CV11SA2H,how to ask for help with alcoholism,1,0,1,0,0
NYZTVG5E,I am very stressed,0,1,0,0,0
G5GF4H7P,main challenges of depression and their side effects on my health,0,1,0,0,0
ZB73RBET,"feeling confused and helpless and was pushed around the corner, feeling some kind of betteer",0,1,0,0,0
93G4A70N,how to avoid bad company?,3,0,0,0,1
X45W9Q0S,how to avoid depression on campus,0,1,0,0,0
ZBUCI1MA,causes of youth suicide,2,0,0,1,0
J9T35NVE,what are the effects of alcohol?,1,0,1,0,0
JP9NVFHD,"I feel very weak, how to overcome it?",0,1,0,0,0
ML2SKCYN,i feel painful and unwanted,0,1,0,0,0
MT04SPT2,what can i do to change the situation?,0,1,0,0,0
G4VUYDC1,what to do to resist the bad feeling?,0,1,0,0,0
5M88BU4L,"too much classroom work, and how to deal with many responsibilities",0,1,0,0,0
2ANINIO7,how can i stop alcohol,1,0,1,0,0
BXMHPTHE,"i face many challenges in life financially, emotionally, psychologically and without any solution… how can i safely search for solutions on depression on google",0,1,0,0,0
459AWRKP,I always feel depressed,0,1,0,0,0
2ZH6D7O3,sad and alone,0,1,0,0,0
9XPAAVP5,I feel that I am unworthy and lost,0,1,0,0,0
8MPE9DNC,what are the best ways to follow to stop using it,1,0,1,0,0
65WCW3PH,i think i can manage my drink,1,0,1,0,0
J4ES54MZ,I feel depressed because of relationship issues,0,1,0,0,0
97VW5839,how can i stop drinking alcohol,1,0,1,0,0
6T8HVMG3,what can i do to minimize my alcoholism,1,0,1,0,0
0RFTD03Y,how to manage and overcome a bad situation,2,0,0,1,0
KBYAYAJC,effects of alcohol?,1,0,1,0,0
9WUGXUWF,I used my rent money to play,0,1,0,0,0
QKBV071K,Why do I exist?,0,1,0,0,0
BM946H9J,will prayer help me out of suicidal thoughts.,2,0,0,1,0
IBADW0FW,how can i get help?,0,1,0,0,0
5I2N159N,who could be the cause of depression?,0,1,0,0,0
KTL0D91A,I sometimes suffer from depression and I think the best way to avoid it is to keep myself busy,0,1,0,0,0
1JALYOEE,how to avoid alcohol,1,0,1,0,0
HD9XSQZD,loneliness and happiness,0,1,0,0,0
T65023SD,is there any harm to me when i drink alcohol,1,0,1,0,0
YAKKXF3T,how important is alcohol?,1,0,1,0,0
PENYQE5S,I feel an indescribable sadness,0,1,0,0,0
89FS5OH2,what are some common ways to reduce depression,0,1,0,0,0
HSAB9P4S,i feel so low,0,1,0,0,0
RI9SGXM0,parental neglect causing my depression,0,1,0,0,0
4B8XOMN7,effects of alcohol on the health of my body,1,0,1,0,0
NGK6ZM5H,I have a bad company of friends who influence me to smoke weed,3,0,0,0,1
TD9B0JK7,why i don't succeed in what i do,0,1,0,0,0
SCTJPCQ1,is there personal value in life?,2,0,0,1,0
